"a:FastFast","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a:AccFast","a:AccAcc","a:FastAcc","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
1.37191235141051,0.750833684046611,0.372580152225344,2.77898081811114,0.320464324020809,2.4603252221862,0.484445236132449,0.0740529269746667,0.82744503630516,1.29529856202167,1.6280084576499,1.66331793282017,0,5000,1,0.001,"19","All","FCB_cj6_FIT_sub-19_20260629_220832.rds",265.557068999845,"FCB_cj6",12,128,720,344.508083543966,289.557068999845
1.51097284846842,0.648685131127503,0.313533824824038,5.58765453360587,0.565024386062772,1.30761573773212,0.498333288643849,-0.050560925770258,0.697482294124118,2.33553425035576,2.64422468604162,1.39376640990157,0,5000,1,0.001,"2","All","FCB_cj6_FIT_sub-2_20260629_230156.rds",491.937265058172,"FCB_cj6",12,124,714,570.787860606247,515.937265058172
1.64301794553416,0.168072512542794,0.712684443165476,11.1856945452171,0.701518341396174,1.95768281619261,0.0270161275830781,-1.41323551660286,0.605307135443091,2.13216916523604,2.28033559980206,2.22356081486656,0,5000,1,0.001,"20","All","FCB_cj6_FIT_sub-20_20260629_234314.rds",1004.24183478759,"FCB_cj6",12,144,717,1083.14274487479,1028.24183478759
1.09308162039971,0.582231515455959,0.300202377893026,3.92668319929353,0.74478260644101,0.993301298419221,0.890020285089306,-0.448844153373373,0.538382755695889,1.46714038729694,1.61493231158583,1.16501620149378,0,5000,1,0.001,"21","All","FCB_cj6_FIT_sub-21_20260629_224232.rds",864.145677882893,"FCB_cj6",12,132,718,943.063312711472,888.145677882893
1.28181265086533,0.661458699289691,0.292081810889853,3.39729453401905,0.278756336972754,2.09369016154013,0.00421762045567869,0.0114379113576176,0.752043653314841,1.54233600354029,2.11211613552621,1.75278983891556,0,5000,1,0.001,"22","All","FCB_cj6_FIT_sub-22_20260629_222453.rds",433.823478204616,"FCB_cj6",12,128,718,512.741113033195,457.823478204616
1.30640460982071,0.363024144966647,0.346047877996319,7.1213288647136,0.270024571453587,1.36819076229741,0.0213177020406874,-0.617224618053129,0.701007036789804,2.20704814620211,2.39555425726537,1.22964858865523,0,5000,1,0.001,"23","All","FCB_cj6_FIT_sub-23_20260629_231256.rds",1126.87967187631,"FCB_cj6",12,136,718,1205.79730670489,1150.87967187631
1.34762529532895,0.176502132358316,0.496506189563282,3.57558795038624,0.319958163286747,2.79257400088024,0.0524900812132374,0.0140550583140653,0.723584522817616,1.38064242883346,1.62166482190551,1.27145481871787,0,5000,1,0.001,"24","All","FCB_cj6_FIT_sub-24_20260629_221634.rds",281.827839592387,"FCB_cj6",12,144,719,360.76217588504,305.827839592387
1.38794131991045,0.800951429112795,0.347456260234997,6.9326342845051,0.390889013587201,0.0806502740215904,1.76934955345758,-1.09627320675118,0.475501464742344,2.35737338639266,2.51992593658848,1.27501325245688,0,5000,1,0.001,"25","All","FCB_cj6_FIT_sub-25_20260629_232101.rds",1422.80816480501,"FCB_cj6",12,120,719,1501.74250109766,1446.80816480501
0.902269447327234,0.632874389728363,0.334537110151829,4.63674609891139,0.356579470297393,2.68924474490339,0.00183502183412965,-0.286374689492644,0.54133666256865,1.1930069543898,1.39694359516111,1.19783217038693,0,5000,1,0.001,"26","All","FCB_cj6_FIT_sub-26_20260629_223351.rds",851.205974796444,"FCB_cj6",12,128,719,930.140311089097,875.205974796444
1.55354603441826,0.370887106585807,0.222831489834126,6.19821128401713,0.231155398233639,3.00963612002328,0.0575427393873402,-0.509081458810099,0.614606177437422,2.02693327359207,2.33143610971503,2.400194138105,0,5000,1,0.001,"27","All","FCB_cj6_FIT_sub-27_20260629_225307.rds",841.417743755238,"FCB_cj6",12,132,719,920.352080047891,865.417743755238
